source,target
48008938,118607575
48008938,1253758756304809984
48008938,97279389
48008938,14650130
48008938,1188113780
48008938,3279117936
48008938,872518859152125952
48008938,895635687130644480
48008938,33810723
48008938,437520768
48008938,1129720860481339392
48008938,18691746
48008938,897534330079072256
48008938,2465283662
48008938,1053264590983872512
48008938,51836807
48008938,24708997
48008938,997629601
48008938,1900027512
48008938,173813647
48008938,1321466364645748736
48008938,2896124082
48008938,342578839
48008938,2877269376
48008938,4548661167
48008938,28421825
48008938,1018953150907154432
48008938,1114708324321091584
48008938,1558283664
48008938,1202165863895449600
48008938,116907977
48008938,142783289
48008938,787420092447330304
48008938,560083540
48008938,2950677387
48008938,1278867679005286401
48008938,3394080433
48008938,892965151736963073
48008938,45176933
48008938,61758702
48008938,5656302
48008938,1062724264799989761
48008938,1236655051374026752
48008938,1306199515
48008938,1166826326
48008938,72030668
48008938,13759132
48008938,464955571
48008938,1426332673
48008938,15628890
48008938,882257115863187457
48008938,1179005333890633737
48008938,2798066409
48008938,21146468
48008938,2842032503
48008938,1255661166401138696
48008938,1337466885911166977
48008938,107225267
48008938,82032941
48008938,18622869
48008938,245262377
48008938,1085427626716491776
48008938,514602810
48008938,23038956
48008938,15010349
48008938,6573352
48008938,324479397
48008938,975825911961608192
48008938,874916178
48008938,18290951
48008938,1092668911
48008938,506357248
48008938,45675087
48008938,1187434496888586240
48008938,449588356
48008938,1554622124
48008938,926822348853886976
48008938,25263396
48008938,1041553788996268033
48008938,77316078
48008938,1278890108
48008938,947321780
48008938,29907525
48008938,92096034
48008938,46950574
48008938,999823638932189184
48008938,387156826
48008938,1288522133501620224
48008938,1013971684624424960
48008938,617940906
48008938,17823114
48008938,97939183
48008938,955370246
48008938,893109085
48008938,2303004390
48008938,173157358
48008938,64313421
48008938,883039700
48008938,290843855
48008938,1009799569390096384
217284148,1393784868392292353
217284148,421111434
217284148,817350731783086081
217284148,348676011
217284148,2255182597
217284148,111966719
217284148,1270407190516510727
217284148,1147890132768440321
217284148,995408426
217284148,9774862
217284148,58595157
217284148,937071079
217284148,1356934161244835840
217284148,4094217682
217284148,218314878
217284148,4207961
217284148,1044107918382182401
217284148,342863309
217284148,531071556
217284148,1351284403801108481
217284148,16311780
217284148,2421045126
217284148,727088844
217284148,1049084568828043264
217284148,1354898820400877571
217284148,58946293
217284148,1351311448195166208
217284148,114497182
217284148,463830703
217284148,17773367
217284148,2996337411
217284148,233364902
217284148,43638962
217284148,1278070586888073223
217284148,743963069672493056
217284148,13784322
217284148,950471256
217284148,1333171793201225728
217284148,1333154383278731265
217284148,4898869396
217284148,2851270388
217284148,4761244662
217284148,2610504775
217284148,82774838
217284148,854671369
217284148,1512021254
217284148,21268897
217284148,192970470
217284148,1312897653555027968
217284148,7651862
217284148,1318936544758140928
217284148,463765807
217284148,59119369
217284148,314734325
217284148,17142283
217284148,18991439
217284148,2315651659
217284148,4834184626
217284148,950733535
217284148,824703270320877569
217284148,249453999
217284148,1349748577
217284148,33189599
217284148,1080199965446684672
217284148,39416218
217284148,621213380
217284148,1433584531
217284148,1199461584034291713
217284148,50025218
217284148,1219780047638274048
217284148,450687950
217284148,3239723573
217284148,737042658
217284148,701681762347393024
217284148,30761484
217284148,338100005
217284148,324703658
217284148,1088447705758777344
217284148,15446531
217284148,549899658
217284148,464501201
217284148,1268807490
217284148,1471341355
217284148,1129901605443317760
217284148,1383272101
217284148,818607625654927362
217284148,1272711935084158976
217284148,235147044
217284148,1963815115
217284148,180107694
217284148,56169577
217284148,260278591
217284148,197792199
217284148,1201584514763513856
217284148,1186257814953480192
217284148,781251776
217284148,102874421
217284148,9273802
217284148,287309941
775449094739197953,789998140782882817
775449094739197953,970803673155751936
775449094739197953,2485541372
775449094739197953,19355561
775449094739197953,456933366
775449094739197953,21164079
775449094739197953,3354277853
775449094739197953,1673643912
775449094739197953,14801863
775449094739197953,821784477076750338
775449094739197953,339838202
775449094739197953,1202209184076443648
775449094739197953,765624887192924160
775449094739197953,1282679296843288577
775449094739197953,916742111378182145
775449094739197953,619550763
775449094739197953,1156180530213220352
775449094739197953,1085183718526922752
775449094739197953,3119778197
775449094739197953,111104803
775449094739197953,54780666
775449094739197953,973919934735626240
775449094739197953,575774620
775449094739197953,532291250
775449094739197953,1017408130865434624
775449094739197953,147164311
775449094739197953,998026570697617408
775449094739197953,26363440
775449094739197953,2891025692
775449094739197953,3315615270
775449094739197953,631062120
775449094739197953,884839252382461952
775449094739197953,19091351
775449094739197953,1129160431
775449094739197953,68506929
775449094739197953,12876222
775449094739197953,2542679850
775449094739197953,29315623
775449094739197953,16716511
775449094739197953,634955425
775449094739197953,1183814145155596288
775449094739197953,70947578
775449094739197953,1071534749188001799
775449094739197953,45251315
775449094739197953,141459742
775449094739197953,233935521
775449094739197953,148873002
775449094739197953,28521141
775449094739197953,378171907
775449094739197953,60101131
775449094739197953,143244854
775449094739197953,15661871
775449094739197953,215676092
775449094739197953,786271822358585344
775449094739197953,305768967
775449094739197953,136924601
775449094739197953,1011585253423665152
775449094739197953,196481854
775449094739197953,146536061
775449094739197953,446461168
775449094739197953,271601706
775449094739197953,18275645
775449094739197953,3271497342
775449094739197953,259863564
775449094739197953,768915481
775449094739197953,959094316323885057
775449094739197953,171313785
775449094739197953,488809452
775449094739197953,48132954
775449094739197953,14661955
775449094739197953,49576758
775449094739197953,476646557
775449094739197953,273375532
775449094739197953,36808756
775449094739197953,23958690
775449094739197953,29433614
775449094739197953,16532192
775449094739197953,93011054
775449094739197953,134446079
775449094739197953,30232986
775449094739197953,52519945
775449094739197953,23815775
775449094739197953,36815024
775449094739197953,2366397482
775449094739197953,3242549352
775449094739197953,1600427904
775449094739197953,3008322017
775449094739197953,203186298
775449094739197953,2209754232
775449094739197953,3285965604
775449094739197953,733318062754004992
775449094739197953,16288595
775449094739197953,117793113
775449094739197953,925800751628279808
775449094739197953,1025146240353349637
775449094739197953,3167505844
775449094739197953,6398252
775449094739197953,908426033505931265
775449094739197953,24346550
775449094739197953,390167291
462021312,1319196467530256392
462021312,790178996
462021312,114505454
462021312,1397495454254960641
462021312,834033651578978304
462021312,20724055
462021312,633774979
462021312,2369157648
462021312,286269957
462021312,2804548467
462021312,857842375
462021312,456612352
462021312,1114206378460160001
462021312,862431716337758208
462021312,1052578403138891779
462021312,4870788316
462021312,2365582562
462021312,1276864845737013248
462021312,937057596334313473
462021312,1170129955558047745
462021312,1731311
462021312,801589231097257984
462021312,1567623781
462021312,362608970
462021312,596642079
462021312,793879086
462021312,24775934
462021312,2194124415
462021312,2522018992
462021312,4898839798
462021312,319558915
462021312,88276276
462021312,2577053906
462021312,247529504
462021312,1316770138805338112
462021312,622262070
462021312,2791362329
462021312,4707642166
462021312,2313430832
462021312,564634881
462021312,3396646347
462021312,526362585
462021312,1238142105933041664
462021312,17848605
462021312,20361904
462021312,496987816
462021312,2215499786
462021312,1307548519
462021312,2294582659
462021312,3185720636
462021312,1887386834
462021312,30920319
462021312,917018941632868357
462021312,392119320
462021312,243120334
462021312,48945530
462021312,2880447465
462021312,776381850864406528
462021312,23372897
462021312,1030799661056045056
462021312,2154127088
462021312,1236531424582176768
462021312,1240399877386850304
462021312,988849298
462021312,1143331458
462021312,237342647
462021312,837291039786479617
462021312,85318529
462021312,4260425937
462021312,148950709
462021312,17297668
462021312,147492434
462021312,306764010
462021312,32603596
462021312,3238448948
462021312,1017159147748352000
462021312,2423861950
462021312,263438749
462021312,49080232
462021312,898603320734089216
462021312,559021180
462021312,184762740
462021312,1110032180237852672
462021312,36371437
462021312,1143921823735828480
462021312,483347098
462021312,16376551
462021312,396523209
462021312,614186210
462021312,1026894047904980992
462021312,2974929028
462021312,2225510983
462021312,1355938448016887808
462021312,267134242
462021312,917416223541022720
462021312,421957007
462021312,24881428
462021312,760387421099978752
462021312,907910807723356161
462021312,245450030
19515424,19355829
19515424,3108351
19515424,15293805
19515424,556151596
19515424,37710752
19515424,1314604885
19515424,29484644
19515424,14219877
19515424,427475002
19515424,19802879
19515424,47647149
19515424,46131923
19515424,248837401
19515424,13691782
19515424,17596622
19515424,2425151
19515424,10228272
19515424,20536157
19515424,26533046
19515424,49588722
19515424,17374092
19515424,17939037
19515424,19725644
19515424,16130330
19515424,15862891
19515424,26518938
19515424,74428325
19515424,10716292
19515424,20060293
19515424,7152572
19515424,33998183
19515424,20512439
19515424,20513550
19515424,20513956
19515424,1344951
19515424,14634720
19515424,20214495
19515424,15912113
19515424,34960648
19515424,17248121
19515424,19402238
19515424,28543386
19515424,621573
19515424,17089636
19515424,16245822
19515424,28588873
19515424,15234407
19515424,19722699
19515424,18567018
19515424,16895274
19515424,11348282
19224439,854671369
19224439,1615659576
19224439,2563372862
19224439,1932590653
19224439,2592325153
19224439,1057583585715253248
19224439,33545702
19224439,1321870013431730176
19224439,4041902475
19224439,16288136
19224439,851361
19224439,995543502
19224439,4011928402
19224439,16303211
19224439,2323253005
19224439,29468585
19224439,1338714762289483777
19224439,190028536
19224439,998737283346972672
19224439,3412134933
19224439,16035942
19224439,21729897
19224439,1003230945862877186
19224439,951639237673267200
19224439,20609518
19224439,49707662
19224439,14379660
19224439,304746564
19224439,359831209
19224439,380993093
19224439,16031984
19224439,1323264869676863488
19224439,33104659
19224439,21611239
19224439,17994509
19224439,841694471293173760
19224439,1449022357
19224439,635716830
19224439,30354991
19224439,258404212
19224439,1321117335281979394
19224439,2687990413
19224439,22110973
19224439,427089628
19224439,1164897372767510529
19224439,93069110
19224439,1124740950809612288
19224439,1151154718447669250
19224439,1190410678273626113
19224439,2223157392
19224439,35002876
19224439,1067218780806307841
19224439,1139755488248246272
19224439,16319594
19224439,800152252447002624
19224439,1452534786
19224439,2431547652
19224439,816291044325261312
19224439,251881430
19224439,56497037
19224439,340418291
19224439,301863076
19224439,978072902338842624
19224439,15808647
19224439,957719032853028864
19224439,4834184626
19224439,18983292
19224439,389611283
19224439,86582499
19224439,2316383071
19224439,520406501
19224439,41124675
19224439,86135637
19224439,1433356862
19224439,1444029422
19224439,19767193
19224439,334217161
19224439,40156330
19224439,474653218
19224439,961132338
19224439,3311286493
19224439,1327359720
19224439,322029112
19224439,271211220
19224439,384445331
19224439,5763262
19224439,553780392
19224439,2858972777
19224439,406236077
19224439,537175623
19224439,1393692774
19224439,917683048782503937
19224439,437235053
19224439,134976379
19224439,2330407506
19224439,259288589
19224439,2417257886
19224439,104307897
19224439,5022271
19224439,1067457072030076928
134429434,20950239
134429434,1354919270375940099
134429434,962057810736422912
134429434,532718832
134429434,1070964109154357248
134429434,718776816
134429434,2669268234
134429434,517842200
134429434,21252618
134429434,916087333291810816
134429434,18190235
134429434,226248120
134429434,414236162
134429434,2478954626
134429434,755349745
134429434,1215257195182424067
134429434,907306993387491328
134429434,46008977
134429434,1024401396521754630
134429434,26247698
134429434,834692978
134429434,997863413765279745
134429434,94401193
134429434,1214362938783363074
134429434,1226752231871057920
134429434,1344166987878973440
134429434,966918928017473539
134429434,20916144
134429434,29354944
134429434,1276482431755968513
134429434,3419251203
134429434,245946345
134429434,204196157
134429434,3335564147
134429434,830891475395293184
134429434,967845595934351360
134429434,811589795222843392
134429434,22549616
134429434,854840560749826049
134429434,21749727
134429434,939501185370910720
134429434,21202851
134429434,2791362329
134429434,43095041
134429434,6183812
134429434,1146407959565656064
134429434,382968137
134429434,710625988296765440
134429434,448293434
134429434,15329369
134429434,1256925276530974721
134429434,87533919
134429434,1006149495279771648
134429434,3238448948
134429434,436576452
134429434,1233308864835026944
134429434,1829228214
134429434,732502692744962049
134429434,84235167
134429434,151056853
134429434,923581820247134209
134429434,64408661
134429434,830066565089488896
134429434,2560986331
134429434,34317032
134429434,2154127088
134429434,2877269376
134429434,17094858
134429434,1150506334598643715
134429434,830095167835217922
134429434,4823705386
134429434,1059954433260314624
134429434,792863004480135168
134429434,1201468485878063104
134429434,3168247662
134429434,746814823334354944
134429434,1870998606
134429434,595174584
134429434,1119514956708438017
134429434,998099845926801409
134429434,3433472787
134429434,1316711024
134429434,16492108
134429434,2979624538
134429434,1042398569465085952
134429434,143344335
134429434,787404042012098560
134429434,436029997
134429434,20733975
134429434,313696037
134429434,58642462
134429434,1167741916013899776
134429434,1363949995
134429434,93222172
134429434,3174594047
134429434,800126954
134429434,172942846
134429434,19906615
134429434,1967275506
134429434,532115122
56564230,1321019862299353089
56564230,4445766373
56564230,853111176
56564230,1378511882517024768
56564230,2868043542
56564230,1209642294
56564230,1375267944880431106
56564230,1363218368065638401
56564230,18476766
56564230,1349149096909668363
56564230,1135782031
56564230,1349154719386775552
56564230,18215973
56564230,183548902
56564230,351921968
56564230,22938914
56564230,593813785
56564230,28838219
56564230,15921173
56564230,1138886434478182401
56564230,28921069
56564230,2240268936
56564230,1182442808092712960
56564230,21982720
56564230,409486555
56564230,1339835893
56564230,16958346
56564230,17220934
56564230,1286024732429582336
56564230,743767984846561280
56564230,65707359
56564230,65647594
56564230,20571756
56564230,17503180
56564230,1047853635722518528
56564230,2150692549
56564230,17494010
56564230,803694179079458816
56564230,40156330
56564230,811576915
56564230,939091
56564230,16581604
56564230,98877698
56564230,978615531728195584
56564230,910289769061507073
56564230,1037528278691545088
56564230,49736166
56564230,285165232
56564230,2154127088
56564230,14173315
56564230,102094857
56564230,368158573
56564230,2904169317
56564230,854678344067153921
56564230,116660005
56564230,529704495
56564230,47678782
56564230,4214253069
56564230,1059239197419159552
56564230,577451683
56564230,2495639856
56564230,13936822
56564230,3194849812
56564230,969967677266583552
56564230,25228282
56564230,2796525812
56564230,374095894
56564230,533279642
56564230,951012768672444416
56564230,14148802
56564230,596762417
56564230,3948449002
56564230,2565662474
56564230,228586748
56564230,256722290
56564230,877643234071195648
56564230,2467791
56564230,51241574
56564230,1652541
56564230,742143
56564230,11348282
56564230,15234407
56564230,16895274
56564230,21581503
56564230,19722699
56564230,37710752
56564230,215244619
56564230,4271691
56564230,46046512
56564230,19711691
56564230,2880203524
56564230,29726578
56564230,327449246
56564230,130241862
56564230,3411639339
56564230,2230344584
56564230,2456732700
56564230,2427492366
56564230,2432381543
56564230,3115854416
556151596,247297609
556151596,15612654
556151596,1288841746898534401
556151596,95092020
556151596,196233238
556151596,15165502
556151596,32515106
556151596,597225825
556151596,308526298
556151596,1232783237623119872
556151596,356408677
556151596,1009716150895341568
556151596,34868965
556151596,40305538
556151596,813078314260766720
556151596,258680371
556151596,1092116102900011009
556151596,20891396
556151596,2726670247
556151596,1100227961595121665
556151596,142696824
556151596,30354991
556151596,15820660
556151596,419520517
556151596,88315048
556151596,51837775
556151596,52070270
556151596,14647570
556151596,1091644491969298432
556151596,8295072
556151596,15227791
556151596,845743333
556151596,353150513
556151596,826261914
556151596,1270065976931954690
556151596,3108351
556151596,10666172
556151596,939091
556151596,3775360879
556151596,1398479138
556151596,1205226529455632385
556151596,1660468830
556151596,471677441
556151596,18686907
556151596,14091091
556151596,14749383
556151596,44570946
556151596,815680
556151596,123323591
556151596,788363167
556151596,487833518
556151596,24919888
556151596,11348282
556151596,27457788
556151596,15234407
556151596,75927392
556151596,62591681
556151596,95610041
556151596,2835886194
556151596,1670994350
556151596,138304042
556151596,22266923
556151596,14075928
556151596,19402238
556151596,44849238
556151596,17248121
556151596,18208354
556151596,887837903937818626
556151596,16443978
556151596,1092361548113166342
556151596,604641964
556151596,1086330195655704581
556151596,1100553778669875201
556151596,488061194
556151596,147693935
556151596,263928436
556151596,267856525
556151596,19725644
556151596,34235402
556151596,15860531
556151596,127063296
556151596,594666501
556151596,823565852922576897
556151596,21786618
556151596,18700629
556151596,17918545
556151596,16129920
556151596,15969172
556151596,20772763
556151596,17004618
556151596,17006157
556151596,441275531
556151596,138737516
556151596,20015311
556151596,4693427365
556151596,15912890
556151596,15473958
556151596,2916305152
556151596,121595197
556151596,822215679726100480
19843630,1299406429300731904
19843630,102165728
19843630,78277985
19843630,3883543941
19843630,733350900337659904
19843630,56597230
19843630,598739157
19843630,16960160
19843630,131314170
19843630,125691980
19843630,52456457
19843630,1022252040641302528
19843630,153420516
19843630,1102225524556890112
19843630,1246227462738059264
19843630,1359346459561373698
19843630,191985864
19843630,753612101910945793
19843630,1304107476883775490
19843630,1032787532101169154
19843630,410848943
19843630,327690627
19843630,4482780612
19843630,102600684
19843630,2202169496
19843630,1398655724989739008
19843630,3300739737
19843630,544341486
