id,protected,verified,followers_count,friends_count,ratio_followers_friends,listed_count,statuses_count,default_profile,default_profile_image,has_url,url_is_google_research,url_is_linkedin,url_is_github,url_has_edu,url_is_academic,url_has_tilde,has_location,has_description,description_research_fields_count,description_mention_count,description_hashtag_count,description_url_count,researcher
0,0,0,125,434,0.2880184331797235,1,102,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
1,0,0,227138,1102,206.1143375680581,3384,2722,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1
2,0,1,33957,907,37.43880926130099,208,21107,1,0,1,0,0,0,0,0,0,1,1,0,1,4,2,0
3,0,0,149,153,0.9738562091503268,1,1148,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4,0,0,24,132,0.18181818181818182,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,1,0,2143,4233,0.506260335459485,3,33812,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0
6,0,0,13,573,0.02268760907504363,0,71,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,11,290,0.03793103448275862,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,0,632,1659,0.38095238095238093,2,2082,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
9,0,0,25,107,0.2336448598130841,0,953,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
10,0,0,1,44,0.022727272727272728,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,1,64,0.015625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,5475866,4704,1164.0871598639455,29390,27525,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13,0,0,590,264,2.234848484848485,3,1081,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1
14,0,0,120,656,0.18292682926829268,0,560,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,0,0,45,89,0.5056179775280899,0,198,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
16,0,0,18,561,0.03208556149732621,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1460,4996,0.2922337870296237,0,45,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
18,0,0,9,195,0.046153846153846156,0,20,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,0,0,15365,70,219.5,126,242,1,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0
20,0,0,253,285,0.887719298245614,0,286,1,0,1,0,0,1,0,0,0,1,1,1,2,0,0,1
21,0,1,39092,2573,15.193159735717062,624,20201,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
22,0,1,1298704,1007,1289.6762661370408,7998,39397,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
23,0,0,328,634,0.5173501577287066,6,33516,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
24,1,0,6,579,0.010362694300518135,0,2731,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,0,0,2596,1239,2.0952380952380953,85,3781,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
26,0,1,93109,1353,68.81670362158167,668,31295,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
27,0,0,422293,860,491.03837209302327,1866,894,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
28,0,0,10194,8192,1.244384765625,26,28344,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
29,0,0,2063,1185,1.7409282700421942,51,3371,0,0,1,0,0,0,0,0,0,1,1,0,7,0,0,0
30,0,0,2006,292,6.86986301369863,23,968,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1
31,0,0,487,303,1.6072607260726073,9,151,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1
32,0,0,329,503,0.6540755467196819,3,28,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1
33,0,0,250,535,0.4672897196261682,3,329,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1
34,0,0,43,1123,0.03829029385574354,0,428,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
35,0,0,1604,1197,1.340016708437761,42,5750,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
36,0,0,6575,128,51.3671875,123,598,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
37,0,0,106,146,0.726027397260274,0,531,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
38,0,0,1014,680,1.4911764705882353,17,71193,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
39,0,0,3228,828,3.898550724637681,49,31359,1,0,1,0,0,0,0,0,0,1,1,5,0,0,0,1
40,0,0,1246,1100,1.1327272727272728,31,33738,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
41,0,1,357346,2466,144.90916463909164,2221,21929,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1
42,0,0,522,1016,0.5137795275590551,28,9893,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
43,0,0,2158,2184,0.9880952380952381,38,16280,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
44,0,0,11,305,0.036065573770491806,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
45,0,0,264,494,0.5344129554655871,61,6872,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
46,0,1,7932302,3049,2601.6077402427027,1591,22363,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,0,0,162,440,0.36818181818181817,0,1810,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
48,0,0,16219,1940,8.360309278350515,296,50028,0,0,1,0,0,0,0,1,0,1,1,0,2,3,0,1
49,0,0,51060,501,101.91616766467065,1260,10131,1,0,1,0,0,0,0,0,0,1,1,2,0,0,1,1
50,0,0,2971,757,3.9247027741083222,23,1027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
